# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
6.072580645161290702e-01	4.930662557781202021e-02	9.941025376319885254e-01
6.072580645161290702e-01	5.084745762711864736e-02	9.940866231918334961e-01
6.112903225806451957e-01	5.084745762711864736e-02	9.939494132995605469e-01
6.112903225806451957e-01	5.238828967642526757e-02	9.938910007476806641e-01
6.201612903225806051e-01	5.238828967642526757e-02	9.933000802993774414e-01
6.201612903225806051e-01	5.392912172573189472e-02	9.932722449302673340e-01
6.233870967741935720e-01	5.392912172573189472e-02	9.929654598236083984e-01
6.233870967741935720e-01	5.546995377503852187e-02	9.928575754165649414e-01
6.290322580645161255e-01	5.546995377503852187e-02	9.924499988555908203e-01
6.290322580645161255e-01	5.701078582434514902e-02	9.924322366714477539e-01
6.338709677419355204e-01	5.701078582434514902e-02	9.920416474342346191e-01
6.338709677419355204e-01	5.855161787365176923e-02	9.920122027397155762e-01
6.451612903225806273e-01	5.855161787365176923e-02	9.907537698745727539e-01
6.451612903225806273e-01	6.163328197226502353e-02	9.906875491142272949e-01
6.475806451612903247e-01	6.163328197226502353e-02	9.905339479446411133e-01
6.475806451612903247e-01	6.471494607087827089e-02	9.905071258544921875e-01
6.483870967741935942e-01	6.471494607087827089e-02	9.903889298439025879e-01
6.483870967741935942e-01	6.779661016949152519e-02	9.902291297912597656e-01
6.491935483870967527e-01	6.779661016949152519e-02	9.900516867637634277e-01
6.491935483870967527e-01	7.241910631741139970e-02	9.899219870567321777e-01
6.572580645161290036e-01	7.241910631741139970e-02	9.888534545898437500e-01
6.572580645161290036e-01	7.395993836671803379e-02	9.888300299644470215e-01
6.596774193548387011e-01	7.395993836671803379e-02	9.886160492897033691e-01
6.596774193548387011e-01	7.550077041602465400e-02	9.884908199310302734e-01
6.620967741935483986e-01	7.550077041602465400e-02	9.882937669754028320e-01
6.620967741935483986e-01	7.704160246533127421e-02	9.881961941719055176e-01
6.645161290322580960e-01	7.704160246533127421e-02	9.876761436462402344e-01
6.645161290322580960e-01	7.858243451463790830e-02	9.876311421394348145e-01
6.669354838709677935e-01	7.858243451463790830e-02	9.873557686805725098e-01
6.669354838709677935e-01	8.166409861325114872e-02	9.871500730514526367e-01
6.677419354838709520e-01	8.166409861325114872e-02	9.870800375938415527e-01
6.677419354838709520e-01	8.320493066255778281e-02	9.870064258575439453e-01
