# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
2.354838709677419262e-01	1.833590138674884573e-01	7.273249626159667969e-01
2.370967741935483819e-01	1.833590138674884573e-01	7.265915274620056152e-01
2.395161290322580516e-01	1.864406779661016977e-01	7.265183329582214355e-01
2.411290322580645074e-01	1.864406779661016977e-01	7.245761156082153320e-01
2.411290322580645074e-01	1.895223420647149382e-01	7.237409949302673340e-01
2.419354838709677491e-01	1.910631741140215722e-01	7.229122519493103027e-01
2.427419354838709631e-01	1.910631741140215722e-01	7.215959429740905762e-01
2.427419354838709631e-01	1.926040061633282063e-01	7.211523056030273438e-01
2.443548387096774188e-01	1.926040061633282063e-01	7.207676768302917480e-01
2.451612903225806328e-01	1.941448382126348127e-01	7.205588817596435547e-01
2.475806451612903303e-01	1.987673343605546872e-01	7.199696302413940430e-01
2.483870967741935443e-01	1.987673343605546872e-01	7.193900942802429199e-01
2.483870967741935443e-01	2.003081664098613213e-01	7.187216877937316895e-01
2.491935483870967860e-01	2.033898305084745894e-01	7.185493707656860352e-01
2.491935483870967860e-01	2.049306625577811958e-01	7.179498672485351562e-01
2.524193548387096975e-01	2.049306625577811958e-01	7.158495187759399414e-01
2.532258064516129115e-01	2.049306625577811958e-01	7.158386707305908203e-01
2.725806451612903247e-01	2.157164869029275789e-01	7.136891484260559082e-01
2.758064516129032362e-01	2.157164869029275789e-01	7.136729955673217773e-01
2.758064516129032362e-01	2.172573189522342130e-01	7.122650742530822754e-01
2.774193548387096642e-01	2.172573189522342130e-01	7.114428281784057617e-01
2.774193548387096642e-01	2.203389830508474534e-01	7.091298699378967285e-01
2.790322580645161477e-01	2.203389830508474534e-01	7.087280154228210449e-01
2.806451612903225756e-01	2.203389830508474534e-01	7.085981965065002441e-01
2.822580645161290591e-01	2.203389830508474534e-01	7.076735496520996094e-01
2.846774193548387011e-01	2.234206471494607216e-01	7.073603272438049316e-01
3.016129032258064724e-01	2.342064714946070769e-01	7.070010900497436523e-01
3.024193548387096864e-01	2.342064714946070769e-01	7.068343758583068848e-01
3.032258064516129004e-01	2.357473035439137110e-01	7.067922353744506836e-01
3.040322580645161143e-01	2.357473035439137110e-01	7.065731883049011230e-01
3.048387096774193283e-01	2.372881355932203451e-01	7.062795162200927734e-01
3.056451612903225978e-01	2.372881355932203451e-01	7.061803340911865234e-01
3.064516129032258118e-01	2.388289676425269514e-01	7.060572504997253418e-01
