# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
5.806451612903226200e-01	6.933744221879814540e-02	9.018543362617492676e-01
5.806451612903226200e-01	7.087827426810477949e-02	9.013817310333251953e-01
5.830645161290322065e-01	7.087827426810477949e-02	8.998807072639465332e-01
5.830645161290322065e-01	7.241910631741139970e-02	8.998686671257019043e-01
5.854838709677419040e-01	7.241910631741139970e-02	8.988473415374755859e-01
5.854838709677419040e-01	7.395993836671803379e-02	8.985362052917480469e-01
5.903225806451612989e-01	7.395993836671803379e-02	8.966443538665771484e-01
5.903225806451612989e-01	7.550077041602465400e-02	8.965275287628173828e-01
5.943548387096774244e-01	7.550077041602465400e-02	8.952155113220214844e-01
5.943548387096774244e-01	7.858243451463790830e-02	8.948818445205688477e-01
5.983870967741935498e-01	7.858243451463790830e-02	8.942799568176269531e-01
5.983870967741935498e-01	8.012326656394452851e-02	8.942653536796569824e-01
6.016129032258064058e-01	8.012326656394452851e-02	8.918585181236267090e-01
6.016129032258064058e-01	8.166409861325114872e-02	8.917706012725830078e-01
6.072580645161290702e-01	8.166409861325114872e-02	8.897088170051574707e-01
6.072580645161290702e-01	8.320493066255778281e-02	8.892689943313598633e-01
6.080645161290322287e-01	8.320493066255778281e-02	8.888828754425048828e-01
6.080645161290322287e-01	8.628659476117103710e-02	8.876282572746276855e-01
6.112903225806451957e-01	8.628659476117103710e-02	8.868263959884643555e-01
6.112903225806451957e-01	8.782742681047765732e-02	8.867548704147338867e-01
6.145161290322580516e-01	8.782742681047765732e-02	8.849799633026123047e-01
6.145161290322580516e-01	8.936825885978427753e-02	8.836758136749267578e-01
6.169354838709677491e-01	8.936825885978427753e-02	8.820759057998657227e-01
6.169354838709677491e-01	9.090909090909091161e-02	8.813658952713012695e-01
6.209677419354838745e-01	9.090909090909091161e-02	8.796080946922302246e-01
6.209677419354838745e-01	9.244992295839753182e-02	8.794769048690795898e-01
6.217741935483871440e-01	9.244992295839753182e-02	8.789219856262207031e-01
6.217741935483871440e-01	9.399075500770416591e-02	8.787080049514770508e-01
6.233870967741935720e-01	9.399075500770416591e-02	8.785916566848754883e-01
6.233870967741935720e-01	9.707241910631740633e-02	8.777142167091369629e-01
6.258064516129032695e-01	9.707241910631740633e-02	8.769521713256835938e-01
6.258064516129032695e-01	9.861325115562404042e-02	8.767172694206237793e-01
6.282258064516128560e-01	9.861325115562404042e-02	8.760896325111389160e-01
6.282258064516128560e-01	1.001540832049306606e-01	8.756948113441467285e-01
6.298387096774193949e-01	1.001540832049306606e-01	8.744888901710510254e-01
6.298387096774193949e-01	1.032357473035439149e-01	8.735752105712890625e-01
6.306451612903225534e-01	1.032357473035439149e-01	8.728508353233337402e-01
6.306451612903225534e-01	1.078582434514637894e-01	8.718361854553222656e-01
6.354838709677419484e-01	1.078582434514637894e-01	8.708156347274780273e-01
6.354838709677419484e-01	1.093990755007704097e-01	8.704615831375122070e-01
6.362903225806451069e-01	1.093990755007704097e-01	8.701095581054687500e-01
