# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
8.843338213762811373e-01	2.795698924731182533e-01	7.684292793273925781e-01
8.843338213762811373e-01	2.849462365591398094e-01	7.553617954254150391e-01
8.872620790629575094e-01	2.849462365591398094e-01	7.344647049903869629e-01
8.872620790629575094e-01	2.903225806451613100e-01	6.945114731788635254e-01
8.887262079062957509e-01	2.903225806451613100e-01	6.461117267608642578e-01
8.887262079062957509e-01	3.010752688172043112e-01	6.165500879287719727e-01
8.931185944363103646e-01	3.010752688172043112e-01	5.862653255462646484e-01
8.931185944363103646e-01	3.172043010752688130e-01	5.465382337570190430e-01
8.945827232796486062e-01	3.172043010752688130e-01	5.459014177322387695e-01
8.945827232796486062e-01	3.333333333333333148e-01	4.579090476036071777e-01
8.960468521229868477e-01	3.333333333333333148e-01	4.184593558311462402e-01
8.960468521229868477e-01	3.440860215053763715e-01	4.139297306537628174e-01
8.989751098096632198e-01	3.440860215053763715e-01	3.982535004615783691e-01
8.989751098096632198e-01	3.494623655913978721e-01	3.839877247810363770e-01
9.019033674963397029e-01	3.494623655913978721e-01	3.640579581260681152e-01
9.019033674963397029e-01	3.548387096774193727e-01	3.579048812389373779e-01
9.033674963396779445e-01	3.548387096774193727e-01	3.476357460021972656e-01
9.033674963396779445e-01	3.602150537634408733e-01	3.414675295352935791e-01
9.062957540263543166e-01	3.602150537634408733e-01	3.291724026203155518e-01
9.062957540263543166e-01	3.709677419354838745e-01	3.198787569999694824e-01
9.106881405563689302e-01	3.709677419354838745e-01	3.111204206943511963e-01
9.106881405563689302e-01	3.817204301075268758e-01	3.073059618473052979e-01
9.150805270863836549e-01	3.817204301075268758e-01	2.899180650711059570e-01
9.150805270863836549e-01	3.870967741935483764e-01	2.548473179340362549e-01
9.224011713030746407e-01	3.870967741935483764e-01	2.074730694293975830e-01
9.224011713030746407e-01	3.924731182795698770e-01	2.070891261100769043e-01
9.297218155197657374e-01	3.924731182795698770e-01	1.693063825368881226e-01
9.297218155197657374e-01	4.086021505376344343e-01	1.620710045099258423e-01
9.326500732064422206e-01	4.086021505376344343e-01	1.534186452627182007e-01
9.326500732064422206e-01	4.139784946236559349e-01	1.459215283393859863e-01
9.355783308931185926e-01	4.139784946236559349e-01	1.320500075817108154e-01
9.355783308931185926e-01	4.247311827956989361e-01	1.085571348667144775e-01
9.370424597364568342e-01	4.247311827956989361e-01	1.059913337230682373e-01
9.370424597364568342e-01	4.354838709677419373e-01	1.036717295646667480e-01
9.385065885797950758e-01	4.354838709677419373e-01	1.019054651260375977e-01
9.385065885797950758e-01	4.516129032258064391e-01	8.117511123418807983e-02
9.399707174231332063e-01	4.516129032258064391e-01	8.035075664520263672e-02
9.399707174231332063e-01	4.677419354838709409e-01	7.032884657382965088e-02
9.443631039531479310e-01	4.677419354838709409e-01	5.628845840692520142e-02
9.443631039531479310e-01	4.731182795698924970e-01	5.472065880894660950e-02
9.458272327964860615e-01	4.731182795698924970e-01	5.393721908330917358e-02
9.458272327964860615e-01	4.784946236559139976e-01	5.386386066675186157e-02
9.472913616398243031e-01	4.784946236559139976e-01	5.367393419146537781e-02
9.472913616398243031e-01	4.946236559139784994e-01	4.632567986845970154e-02
9.487554904831625446e-01	4.946236559139784994e-01	4.238606616854667664e-02
9.487554904831625446e-01	5.000000000000000000e-01	4.134915396571159363e-02
9.502196193265007862e-01	5.000000000000000000e-01	3.905451670289039612e-02
9.502196193265007862e-01	5.053763440860215006e-01	3.829483315348625183e-02
9.516837481698389167e-01	5.053763440860215006e-01	3.669020906090736389e-02
9.516837481698389167e-01	5.107526881720430012e-01	3.462456166744232178e-02
9.531478770131771583e-01	5.107526881720430012e-01	3.202481940388679504e-02
9.531478770131771583e-01	5.322580645161290036e-01	2.903138287365436554e-02
9.546120058565153998e-01	5.322580645161290036e-01	2.756127528846263885e-02
9.546120058565153998e-01	5.430107526881720048e-01	2.625753730535507202e-02
9.575402635431917719e-01	5.430107526881720048e-01	2.441979013383388519e-02
9.575402635431917719e-01	5.483870967741935054e-01	2.372829057276248932e-02
9.590043923865300135e-01	5.483870967741935054e-01	2.365862205624580383e-02
9.590043923865300135e-01	5.752688172043011194e-01	2.151318639516830444e-02
9.604685212298682551e-01	5.752688172043011194e-01	2.144441381096839905e-02
9.604685212298682551e-01	5.806451612903226200e-01	2.126203104853630066e-02
9.619326500732064966e-01	5.806451612903226200e-01	2.103944309055805206e-02
9.619326500732064966e-01	5.913978494623656212e-01	2.072932198643684387e-02
9.633967789165446272e-01	5.913978494623656212e-01	2.010141871869564056e-02
