# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
9.136163982430454134e-01	3.655913978494623739e-01	3.995950222015380859e-01
9.136163982430454134e-01	3.763440860215053752e-01	3.859058320522308350e-01
9.150805270863836549e-01	3.763440860215053752e-01	3.819659352302551270e-01
9.150805270863836549e-01	3.924731182795698770e-01	3.461396396160125732e-01
9.165446559297217854e-01	3.924731182795698770e-01	3.441436588764190674e-01
9.165446559297217854e-01	4.032258064516128782e-01	3.275484740734100342e-01
9.194729136163982686e-01	4.032258064516128782e-01	3.167483806610107422e-01
9.194729136163982686e-01	4.086021505376344343e-01	3.071773648262023926e-01
9.267935578330893653e-01	4.086021505376344343e-01	2.948449552059173584e-01
9.267935578330893653e-01	4.247311827956989361e-01	2.670769393444061279e-01
9.326500732064422206e-01	4.247311827956989361e-01	2.259972691535949707e-01
9.326500732064422206e-01	4.354838709677419373e-01	2.052109986543655396e-01
9.341142020497803511e-01	4.354838709677419373e-01	2.025545835494995117e-01
9.341142020497803511e-01	4.462365591397849385e-01	1.883181929588317871e-01
9.355783308931185926e-01	4.462365591397849385e-01	1.859872341156005859e-01
9.355783308931185926e-01	4.677419354838709409e-01	1.761238276958465576e-01
9.370424597364568342e-01	4.677419354838709409e-01	1.717204004526138306e-01
9.370424597364568342e-01	4.946236559139784994e-01	1.629766821861267090e-01
9.428989751098096894e-01	4.946236559139784994e-01	1.550711095333099365e-01
9.428989751098096894e-01	5.000000000000000000e-01	1.549132317304611206e-01
9.458272327964860615e-01	5.000000000000000000e-01	1.487438231706619263e-01
9.458272327964860615e-01	5.053763440860215006e-01	1.374561488628387451e-01
9.472913616398243031e-01	5.053763440860215006e-01	1.350689232349395752e-01
9.472913616398243031e-01	5.107526881720430012e-01	1.306677907705307007e-01
9.502196193265007862e-01	5.107526881720430012e-01	1.291130781173706055e-01
9.502196193265007862e-01	5.268817204301075030e-01	1.159887835383415222e-01
9.531478770131771583e-01	5.268817204301075030e-01	1.098818928003311157e-01
9.531478770131771583e-01	5.322580645161290036e-01	1.064999327063560486e-01
9.575402635431917719e-01	5.322580645161290036e-01	1.003144532442092896e-01
9.575402635431917719e-01	5.591397849462365066e-01	9.670145809650421143e-02
9.590043923865300135e-01	5.591397849462365066e-01	8.853740990161895752e-02
9.590043923865300135e-01	5.645161290322581182e-01	8.296997845172882080e-02
9.619326500732064966e-01	5.645161290322581182e-01	8.055352419614791870e-02
9.619326500732064966e-01	5.752688172043011194e-01	7.880076766014099121e-02
9.633967789165446272e-01	5.752688172043011194e-01	7.525800913572311401e-02
9.633967789165446272e-01	5.806451612903226200e-01	7.158900797367095947e-02
9.648609077598828687e-01	5.806451612903226200e-01	6.968962401151657104e-02
