# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
8.008784773060029227e-01	1.559139784946236562e-01	8.454735279083251953e-01
8.008784773060029227e-01	1.666666666666666574e-01	8.370864987373352051e-01
8.038067349926794058e-01	1.666666666666666574e-01	8.285751938819885254e-01
8.038067349926794058e-01	1.774193548387096864e-01	8.209931254386901855e-01
8.052708638360175364e-01	1.774193548387096864e-01	8.191018700599670410e-01
8.052708638360175364e-01	1.827956989247311870e-01	8.189401030540466309e-01
8.067349926793557779e-01	1.827956989247311870e-01	8.158267736434936523e-01
8.067349926793557779e-01	1.935483870967741882e-01	8.047338724136352539e-01
8.081991215226940195e-01	1.935483870967741882e-01	8.039678931236267090e-01
8.081991215226940195e-01	1.989247311827956888e-01	8.009191155433654785e-01
8.125915080527086332e-01	1.989247311827956888e-01	7.872956395149230957e-01
8.125915080527086332e-01	2.043010752688172171e-01	7.823027968406677246e-01
8.169838945827232468e-01	2.043010752688172171e-01	7.758278250694274902e-01
8.169838945827232468e-01	2.096774193548387177e-01	7.675408720970153809e-01
8.184480234260614884e-01	2.096774193548387177e-01	7.675395011901855469e-01
8.184480234260614884e-01	2.150537634408602183e-01	7.657266855239868164e-01
8.213762811127379715e-01	2.150537634408602183e-01	7.648848295211791992e-01
8.213762811127379715e-01	2.204301075268817189e-01	7.642002701759338379e-01
8.316251830161054404e-01	2.204301075268817189e-01	7.477790713310241699e-01
8.316251830161054404e-01	2.258064516129032195e-01	7.447732090950012207e-01
8.345534407027818125e-01	2.258064516129032195e-01	7.413404583930969238e-01
8.345534407027818125e-01	2.365591397849462485e-01	7.332536578178405762e-01
8.374816983894582956e-01	2.365591397849462485e-01	7.287309169769287109e-01
8.374816983894582956e-01	2.419354838709677491e-01	7.270612120628356934e-01
8.389458272327965371e-01	2.419354838709677491e-01	7.218487262725830078e-01
8.389458272327965371e-01	2.473118279569892497e-01	7.184133529663085938e-01
8.404099560761346677e-01	2.473118279569892497e-01	7.118844985961914062e-01
8.404099560761346677e-01	2.580645161290322509e-01	7.099202871322631836e-01
8.491947291361640060e-01	2.580645161290322509e-01	6.962850093841552734e-01
8.491947291361640060e-01	2.688172043010752521e-01	6.938830614089965820e-01
8.506588579795022476e-01	2.688172043010752521e-01	6.850587725639343262e-01
8.506588579795022476e-01	2.795698924731182533e-01	6.787097454071044922e-01
8.550512445095168612e-01	2.795698924731182533e-01	6.687253117561340332e-01
8.550512445095168612e-01	2.849462365591398094e-01	6.669855117797851562e-01
8.594436310395314749e-01	2.849462365591398094e-01	6.599003076553344727e-01
8.594436310395314749e-01	2.903225806451613100e-01	6.555364727973937988e-01
8.638360175695460885e-01	2.903225806451613100e-01	6.509684324264526367e-01
8.638360175695460885e-01	2.956989247311828106e-01	6.508718132972717285e-01
8.653001464128843301e-01	2.956989247311828106e-01	6.489145755767822266e-01
8.653001464128843301e-01	3.064516129032258118e-01	6.313945055007934570e-01
8.667642752562225716e-01	3.064516129032258118e-01	6.292856335639953613e-01
8.667642752562225716e-01	3.118279569892473124e-01	6.265274286270141602e-01
8.682284040995608132e-01	3.118279569892473124e-01	6.196812391281127930e-01
8.682284040995608132e-01	3.225806451612903136e-01	6.111564636230468750e-01
8.740849194729136684e-01	3.225806451612903136e-01	5.887001752853393555e-01
8.740849194729136684e-01	3.279569892473118142e-01	5.860583782196044922e-01
8.828696925329428957e-01	3.279569892473118142e-01	5.677986741065979004e-01
8.828696925329428957e-01	3.387096774193548154e-01	5.617113709449768066e-01
8.843338213762811373e-01	3.387096774193548154e-01	5.546003580093383789e-01
8.843338213762811373e-01	3.440860215053763715e-01	5.542843341827392578e-01
8.872620790629575094e-01	3.440860215053763715e-01	5.516924262046813965e-01
8.872620790629575094e-01	3.494623655913978721e-01	5.487218499183654785e-01
8.916544655929722341e-01	3.494623655913978721e-01	5.431033372879028320e-01
8.916544655929722341e-01	3.602150537634408733e-01	5.392210483551025391e-01
