# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
3.612903225806451402e-01	4.314329738058551855e-02	8.838760852813720703e-01
3.645161290322580516e-01	4.314329738058551855e-02	8.836475014686584473e-01
3.645161290322580516e-01	4.468412942989213876e-02	8.834419250488281250e-01
3.766129032258064280e-01	4.468412942989213876e-02	8.819423317909240723e-01
3.766129032258064280e-01	4.622496147919876591e-02	8.817730545997619629e-01
3.774193548387096975e-01	4.622496147919876591e-02	8.814579844474792480e-01
3.774193548387096975e-01	4.776579352850539306e-02	8.812916278839111328e-01
3.830645161290322509e-01	4.776579352850539306e-02	8.807988762855529785e-01
3.830645161290322509e-01	4.930662557781202021e-02	8.806999325752258301e-01
3.854838709677419484e-01	4.930662557781202021e-02	8.800685405731201172e-01
3.854838709677419484e-01	5.084745762711864736e-02	8.798248171806335449e-01
3.879032258064515903e-01	5.084745762711864736e-02	8.796006441116333008e-01
3.879032258064515903e-01	5.238828967642526757e-02	8.795039057731628418e-01
3.919354838709677158e-01	5.238828967642526757e-02	8.791820406913757324e-01
3.919354838709677158e-01	5.392912172573189472e-02	8.790084719657897949e-01
4.048387096774193616e-01	5.392912172573189472e-02	8.764035701751708984e-01
4.048387096774193616e-01	5.546995377503852187e-02	8.763782978057861328e-01
4.080645161290322731e-01	5.546995377503852187e-02	8.754060268402099609e-01
4.080645161290322731e-01	5.855161787365176923e-02	8.750179409980773926e-01
4.314516129032258118e-01	5.855161787365176923e-02	8.694826960563659668e-01
4.314516129032258118e-01	6.163328197226502353e-02	8.681944608688354492e-01
4.322580645161290258e-01	6.163328197226502353e-02	8.679500818252563477e-01
4.322580645161290258e-01	6.317411402157165068e-02	8.673881292343139648e-01
4.572580645161290480e-01	6.317411402157165068e-02	8.638146519660949707e-01
4.572580645161290480e-01	6.471494607087827089e-02	8.636884689331054688e-01
4.580645161290322620e-01	6.471494607087827089e-02	8.635409474372863770e-01
4.580645161290322620e-01	6.625577812018490498e-02	8.634161949157714844e-01
4.588709677419354760e-01	6.625577812018490498e-02	8.634075522422790527e-01
4.588709677419354760e-01	6.779661016949152519e-02	8.630642294883728027e-01
4.733870967741935498e-01	6.779661016949152519e-02	8.586718440055847168e-01
4.733870967741935498e-01	6.933744221879814540e-02	8.582646846771240234e-01
4.790322580645161032e-01	6.933744221879814540e-02	8.570545911788940430e-01
4.790322580645161032e-01	7.087827426810477949e-02	8.570194244384765625e-01
4.854838709677419262e-01	7.087827426810477949e-02	8.551945090293884277e-01
4.854838709677419262e-01	7.241910631741139970e-02	8.547802567481994629e-01
4.959677419354838745e-01	7.241910631741139970e-02	8.505371212959289551e-01
4.959677419354838745e-01	7.550077041602465400e-02	8.503327369689941406e-01
4.967741935483870885e-01	7.550077041602465400e-02	8.502711057662963867e-01
4.967741935483870885e-01	7.858243451463790830e-02	8.500851392745971680e-01
5.080645161290322509e-01	7.858243451463790830e-02	8.470970392227172852e-01
5.080645161290322509e-01	8.012326656394452851e-02	8.469770550727844238e-01
5.145161290322580738e-01	8.012326656394452851e-02	8.453168869018554688e-01
5.145161290322580738e-01	8.166409861325114872e-02	8.446195125579833984e-01
5.177419354838709298e-01	8.166409861325114872e-02	8.435227870941162109e-01
5.177419354838709298e-01	8.474576271186440302e-02	8.431714177131652832e-01
5.225806451612903247e-01	8.474576271186440302e-02	8.410072922706604004e-01
5.225806451612903247e-01	8.628659476117103710e-02	8.408647775650024414e-01
5.330645161290322731e-01	8.628659476117103710e-02	8.370857834815979004e-01
5.330645161290322731e-01	8.782742681047765732e-02	8.370323777198791504e-01
5.435483870967742215e-01	8.782742681047765732e-02	8.322776556015014648e-01
5.435483870967742215e-01	8.936825885978427753e-02	8.317165970802307129e-01
5.459677419354839190e-01	8.936825885978427753e-02	8.311075568199157715e-01
5.459677419354839190e-01	9.244992295839753182e-02	8.307268023490905762e-01
5.556451612903225978e-01	9.244992295839753182e-02	8.267983198165893555e-01
5.556451612903225978e-01	9.399075500770416591e-02	8.263580799102783203e-01
5.572580645161290258e-01	9.399075500770416591e-02	8.255296349525451660e-01
5.572580645161290258e-01	9.553158705701078612e-02	8.251732587814331055e-01
5.612903225806451513e-01	9.553158705701078612e-02	8.237918615341186523e-01
5.612903225806451513e-01	9.861325115562404042e-02	8.233969807624816895e-01
5.637096774193548487e-01	9.861325115562404042e-02	8.226590156555175781e-01
5.637096774193548487e-01	1.001540832049306606e-01	8.225213289260864258e-01
5.693548387096774022e-01	1.001540832049306606e-01	8.195488452911376953e-01
5.693548387096774022e-01	1.016949152542372947e-01	8.192933201789855957e-01
5.741935483870967971e-01	1.016949152542372947e-01	8.181928396224975586e-01
