# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
3.206442166910687952e-01	2.526881720430107503e-01	8.132632374763488770e-01
3.221083455344070368e-01	2.526881720430107503e-01	8.131356239318847656e-01
3.221083455344070368e-01	2.580645161290322509e-01	8.127730488777160645e-01
3.352855051244509332e-01	2.903225806451613100e-01	8.122817277908325195e-01
3.382137628111273608e-01	2.903225806451613100e-01	8.108122348785400391e-01
3.382137628111273608e-01	2.956989247311828106e-01	8.105761408805847168e-01
3.426061493411420300e-01	2.956989247311828106e-01	8.102663159370422363e-01
3.440702781844802161e-01	2.956989247311828106e-01	8.102300763130187988e-01
3.513909224011713128e-01	3.010752688172043112e-01	8.096916079521179199e-01
3.587115666178623541e-01	3.010752688172043112e-01	8.087529540061950684e-01
3.601756954612005956e-01	3.172043010752688130e-01	8.081704974174499512e-01
4.055636896046851958e-01	3.494623655913978721e-01	8.076767921447753906e-01
4.084919472913616234e-01	3.494623655913978721e-01	8.063745498657226562e-01
4.099560761346998650e-01	3.548387096774193727e-01	8.063651919364929199e-01
4.128843338213762926e-01	3.548387096774193727e-01	8.061860203742980957e-01
4.143484626647144786e-01	3.709677419354838745e-01	8.055491447448730469e-01
4.216691068814055754e-01	3.709677419354838745e-01	8.042242527008056641e-01
4.289897510980966167e-01	3.763440860215053752e-01	8.042154312133789062e-01
4.333821376281112858e-01	3.763440860215053752e-01	8.033708333969116211e-01
4.377745241581258995e-01	3.763440860215053752e-01	8.033380508422851562e-01
4.377745241581258995e-01	3.817204301075268758e-01	8.026474118232727051e-01
4.407027818448023271e-01	3.817204301075268758e-01	8.025379180908203125e-01
4.436310395314787547e-01	3.817204301075268758e-01	8.016919493675231934e-01
4.436310395314787547e-01	3.870967741935483764e-01	8.009997606277465820e-01
4.465592972181551823e-01	3.870967741935483764e-01	8.001273274421691895e-01
4.465592972181551823e-01	3.978494623655913776e-01	7.992574572563171387e-01
4.524158125915080375e-01	3.978494623655913776e-01	7.986547350883483887e-01
4.568081991215227067e-01	4.032258064516128782e-01	7.975566983222961426e-01
4.612005856515373203e-01	4.032258064516128782e-01	7.919737100601196289e-01
4.655929721815519895e-01	4.086021505376344343e-01	7.912542819976806641e-01
4.670571010248901755e-01	4.086021505376344343e-01	7.908214330673217773e-01
4.729136163982430308e-01	4.086021505376344343e-01	7.901750206947326660e-01
4.846266471449487412e-01	4.139784946236559349e-01	7.890069484710693359e-01
4.919472913616398380e-01	4.139784946236559349e-01	7.888940572738647461e-01
4.919472913616398380e-01	4.193548387096774355e-01	7.882517576217651367e-01
4.934114202049780240e-01	4.193548387096774355e-01	7.875186204910278320e-01
4.963396778916544516e-01	4.193548387096774355e-01	7.848996520042419434e-01
4.978038067349926932e-01	4.193548387096774355e-01	7.846852540969848633e-01
5.021961932650073068e-01	4.247311827956989361e-01	7.843194007873535156e-01
5.051244509516837899e-01	4.354838709677419373e-01	7.821615934371948242e-01
5.109809663250366452e-01	4.408602150537634379e-01	7.820999026298522949e-01
5.212298682284041140e-01	4.516129032258064391e-01	7.809640765190124512e-01
5.226939970717423556e-01	4.516129032258064391e-01	7.798258066177368164e-01
5.270863836017569692e-01	4.516129032258064391e-01	7.793346047401428223e-01
5.461200585651537764e-01	4.569892473118279397e-01	7.789485454559326172e-01
5.461200585651537764e-01	4.623655913978494403e-01	7.786663770675659180e-01
5.505124450951683901e-01	4.677419354838709409e-01	7.758185863494873047e-01
5.519765739385066317e-01	4.677419354838709409e-01	7.743918895721435547e-01
5.680819912152269557e-01	4.838709677419354982e-01	7.730132341384887695e-01
5.724743777452415694e-01	4.838709677419354982e-01	7.726967930793762207e-01
5.739385065885798110e-01	4.892473118279569988e-01	7.706520557403564453e-01
5.739385065885798110e-01	4.946236559139784994e-01	7.679293155670166016e-01
5.754026354319180525e-01	5.053763440860215006e-01	7.677735090255737305e-01
5.783308931185944246e-01	5.053763440860215006e-01	7.650192975997924805e-01
